Album,Mood,Theme,Style,Scene,Instruments,SearchTerms,NegativeTerms,Notes
Midnight Filter,"Reflective, moonlit, quiet, ambient","Coffee filter metaphor, slow night ritual, ambient calm","Ambient jazz, minimal piano jazz, slow coffeehouse jazz","Moonlit coffee setup with filter, steam and shadows","Soft piano, ambient keys, upright bass, brushed cymbals",midnight coffee filter | moonlit coffee setup | slow pour over coffee | dark kitchen coffee steam | ambient cafe shadows | quiet night espresso | reflective coffee ritual,"text, logo, watermark, people close-up, low quality, blurry",
Modal Skylines,"Expansive, urban, spacious, blue-hour","Modern city skyline, modal harmony, open night air","Modal jazz, modern piano jazz, city jazz",Skyline at blue hour with lights turning on,"Modal piano, upright bass, ride cymbal, tenor saxophone",blue hour city skyline | modern skyline dusk | rooftop city lights | urban evening panorama | modal jazz city mood | glass buildings sunset | city lights from window,"text, logo, watermark, people close-up, low quality, blurry",
Morning Drizzle Jazz,"Fresh, rainy, gentle, clean","Rainy morning, coffee comfort, light city drizzle","Light jazz, soft piano jazz, rainy cafe jazz",Rain on cafe window with morning coffee and grey light,"Piano, upright bass, brush drums, soft saxophone",rainy morning cafe window | coffee cup rain glass | drizzle city street | wet cafe window | morning rain coffee shop | soft grey cafe light | peaceful rain ambience,"text, logo, watermark, people close-up, low quality, blurry",
On the Breeze,Airy,Coastal jazz,Smooth jazz,Sea cliffs breeze,"Flute, wind instruments, panpipe",birds flying over mountains | Peru mountains nature | Machu Picchu landscape | Latin American mountains | Andean mountain scenery | outdoor birds flying | misty mountain sunrise | nature birds forest | mountain valley clouds | peaceful outdoor nature | flute music nature | cinematic Peru landscape,"text, logo, watermark, people close-up, low quality, blurry",
Parisian Brew,"Elegant, romantic, refined, European","Paris cafe, espresso, French street life","French jazz, gypsy jazz, cafe accordion jazz",Paris street cafe with espresso and warm evening light,"Accordion, gypsy jazz guitar, upright bass, violin, brush drums",Paris street cafe | French espresso terrace | European cafe night | accordion street music | romantic Paris coffee | cobblestone cafe lights | gypsy jazz cafe,"text, logo, watermark, people close-up, low quality, blurry",
Pocket Theory,"Intellectual, curious, focused, modern","Music theory, notebooks, practice room ideas","Modern jazz, lo-fi theory beats, piano study jazz",Notebook and piano with music manuscript and coffee,"Piano, Rhodes, drum machine, sampler, upright bass",music manuscript coffee | piano notebook desk | jazz theory notes | sheet music close up | study room piano | lofi music workspace | composer desk coffee,"text, logo, watermark, people close-up, low quality, blurry",
Sips of Ipanema,"Sunny, breezy, coastal, relaxed","Brazilian beach cafe, Ipanema, oceanfront bossa","Bossa nova, Brazilian jazz, soft samba jazz",Ipanema promenade with beach light and coffee,"Nylon guitar, bossa percussion, shakers, upright bass, soft piano",Ipanema beach promenade | Rio beach cafe | Brazilian ocean sunset | bossa nova beach | tropical coffee terrace | sunny coastal street | palm trees coffee shop,"text, logo, watermark, people close-up, low quality, blurry",
Six Strings at Sunset,"Warm, golden, reflective, acoustic","Guitar feature, sunset landscape, gentle strings","Fingerstyle jazz, acoustic guitar jazz, sunset ballad",Sunset over hills with acoustic guitar and warm sky,"Acoustic guitar, electric guitar, upright bass, light percussion",acoustic guitar sunset | guitar over hills | golden hour guitar | sunset countryside road | warm acoustic performance | guitar strings close up | peaceful evening landscape,"text, logo, watermark, people close-up, low quality, blurry",
Sunset Samba Sessions,"Joyful, golden, rhythmic, bright","Brazilian samba, sunset beach, social dance warmth","Samba jazz, Brazilian jazz, Latin percussion jazz",Sunset beach with samba energy and warm colors,"Samba percussion, shakers, congas, nylon guitar, upright bass",Brazil sunset samba | beach sunset dance | Brazilian percussion beach | golden samba rhythm | Rio sunset promenade | tropical evening music | Latin beach cafe,"text, logo, watermark, people close-up, low quality, blurry",
The Chamber Sessions,"Refined, intimate, acoustic, graceful","Small ensemble, chamber room, elegant performance","Chamber jazz, acoustic ensemble jazz, refined piano jazz",Historic recital room with wood floors and soft stage light,"Piano, upright bass, violin, clarinet, brushed drums",historic recital room | small jazz ensemble | wood concert hall | chamber music room | elegant piano performance | acoustic ensemble stage | warm wooden auditorium,"text, logo, watermark, people close-up, low quality, blurry",
The Infinite Pour,"Flowing, surreal, hypnotic, calm","Endless coffee, slow pour, dreamy continuity","Ambient jazz, minimal jazz, meditative coffee jazz",Infinite coffee stream and slow motion pour over ritual,"Ambient keys, soft piano, upright bass, subtle percussion",slow motion coffee pour | endless espresso stream | pour over coffee close up | surreal coffee swirl | hypnotic coffee steam | dark coffee macro | meditative cafe ritual,"text, logo, watermark, people close-up, low quality, blurry",
The Mike McKenzie Trio - Midnight at the Keys,"Classic, nocturnal, polished, intimate","Piano trio, midnight keys, classic jazz room","Piano jazz, classic trio jazz, midnight lounge jazz",Grand piano at night in a small jazz club,"Grand piano, upright bass, brush drums, ride cymbal",grand piano at night | jazz piano trio | small jazz club piano | piano keys close up | midnight piano lounge | upright bass and piano | classic jazz club stage,"text, logo, watermark, people close-up, low quality, blurry",
The Mike Mckenzie Trio Presents: the Hammond File,"Groovy, vintage, soulful, warm","Hammond organ, club groove, retro soul jazz","Soul jazz, Hammond organ jazz, vintage groove jazz",Vintage organ club with warm stage lights,"Hammond organ, electric guitar, drums, tenor saxophone, bass",Hammond organ performance | vintage jazz club organ | soul jazz stage | retro organ keys | warm club lights | electric guitar jazz groove | old music venue,"text, logo, watermark, people close-up, low quality, blurry",
The Roasted Sessions,"Warm, earthy, crafted, cozy","Roasted coffee, craft process, roastery warmth","Coffeehouse jazz, warm piano jazz, acoustic cafe jazz","Roastery interior with beans, sacks and warm light","Piano, upright bass, brush drums, acoustic guitar",coffee roastery interior | roasted coffee beans | burlap coffee sacks | warm roaster lights | barista roasting beans | craft coffee workshop | cozy roastery cafe,"text, logo, watermark, people close-up, low quality, blurry",
The Sacred Brew,"Peaceful, spiritual, reverent, still","Spiritual coffee, quiet ritual, sacred calm","Sacred jazz, minimal jazz, meditative piano jazz",Quiet chapel cafe with stained glass and coffee,"Piano, soft organ, upright bass, brushed cymbals, choir-like pads",stained glass coffee | quiet chapel light | sacred candlelit cafe | peaceful church interior | spiritual coffee ritual | sun through stained glass | meditative piano room,"text, logo, watermark, people close-up, low quality, blurry",
Twilight Sips,"Serene, blue-hour, soft, romantic","Twilight coffee, patio calm, evening transition","Smooth jazz, mellow lounge jazz, blue-hour piano jazz",Blue hour patio with coffee cups and soft outdoor lights,"Piano, upright bass, brush drums, soft saxophone",twilight cafe patio | blue hour coffee | evening outdoor cafe | string lights patio | dusk espresso table | serene cafe terrace | soft city twilight,"text, logo, watermark, people close-up, low quality, blurry",
Unfiltered,"Raw, honest, intimate, analog","Authentic expression, studio truth, unpolished creativity","Improvised jazz, raw studio jazz, analog jazz session","Minimalist studio with instruments, cables and warm analog gear","Piano, upright bass, drums, saxophone, analog tape machine",raw analog studio | minimalist music studio | jazz rehearsal room | tape machine close up | musicians studio session | unfiltered studio lights | vintage recording gear,"text, logo, watermark, people close-up, low quality, blurry",
Urban Roast Sessions,"Modern, urban, industrial, cool","City coffee, industrial cafe, modern roast culture","Nu jazz, urban jazz, modern groove jazz","Industrial cafe with concrete, roastery equipment and city light","Electric piano, synth bass, drum machines, saxophone, percussion",industrial cafe interior | urban coffee roastery | concrete coffee shop | modern city cafe | espresso bar industrial | nu jazz city night | warehouse cafe lights,"text, logo, watermark, people close-up, low quality, blurry",
Velvet Brew,"Luxurious, plush, smooth, late-night","Velvet textures, premium lounge, rich coffee warmth","Smooth jazz, luxury lounge jazz, cocktail jazz","Plush lounge with velvet seats, espresso and soft lighting","Piano, upright bass, brush drums, tenor saxophone",velvet lounge interior | luxury coffee lounge | plush cocktail bar | smooth jazz hotel bar | red velvet seats | espresso in lounge | warm luxury lighting,"text, logo, watermark, people close-up, low quality, blurry",
"When the City Sleeps, the Guitar Speaks","Quiet, nocturnal, reflective, solitary","Night guitar, sleeping city, intimate solitude","Solo guitar jazz, fingerstyle jazz, nocturne jazz",Empty city street at night with guitar mood and soft lights,"Acoustic guitar, electric guitar, upright bass, light percussion",empty city street night | solo guitar at night | quiet urban lights | late night acoustic guitar | sleeping city skyline | moody guitar cafe | street lights after midnight,"text, logo, watermark, people close-up, low quality, blurry",
Wooden Reverie,"Organic, earthy, sunlit, peaceful","Wood and nature, acoustic warmth, natural textures","Acoustic jazz, marimba jazz, organic world jazz",Wood cabin and forest textures with warm natural light,"Marimba, acoustic guitar, hand percussion, upright bass, soft piano",wood cabin forest | sunlit wooden room | marimba wooden percussion | forest cabin interior | natural wood textures | acoustic music in nature | peaceful woodland cafe,"text, logo, watermark, people close-up, low quality, blurry",
Zen & The Art of Espresso,"Meditative, balanced, minimal, peaceful","Japanese-inspired coffee ritual, zen garden, mindful espresso","Minimal jazz, meditative jazz, ambient piano jazz",Zen garden tea and coffee ritual with stones and soft light,"Soft piano, shakuhachi flute, ambient keys, upright bass, light percussion",zen garden coffee | Japanese tea garden | mindful espresso ritual | stones and coffee cup | peaceful bamboo garden | minimal cafe meditation | calm morning ritual,"text, logo, watermark, people close-up, low quality, blurry",
Rio Steam,"Jazz, Bright, breezy, Latin American flute jazz, Latin jazz with flute, Flute, wind instruments, panpipe",--- Source inspiration ---,smooth coffee jazz,Coffee plantation hillside,"Flute, wind instruments, panpipe",Coffee plantation hillside | steam | source | inspiration | reference | breeze | over | beans | bright | breezy | theme | latin,"text, logo, watermark, people close-up, low quality, blurry",Generated from Song Factory on 2026-08-04T10:36:44.695Z.
"Quiet Rooms, Warm Notes","Jazz, Modern, urban, industrial, cool, City coffee, industrial cafe, modern roast culture",--- Source inspiration ---,bossa cafe jazz,roastery equipment and city light,"Electric piano, synth bass, drum machines, saxophone, percussion",roastery equipment and city light | Industrial cafe with concrete | quiet | rooms | notes | source | inspiration | reference | urban | roast | sessions | modern,"text, logo, watermark, people close-up, low quality, blurry",Generated from Song Factory on 2026-08-04T10:38:07.877Z.
