FilePath,Title,Tags,SourceUrl,Creator,License,CommercialUse,AttributionRequired,Approved,Notes
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-32393431-coffee-and-vinyl.mp4","https://www.pexels.com/video/vintage-record-store-with-vinyl-collection-and-turntables-32393431/","pexels query coffee and vinyl","https://www.pexels.com/video/vintage-record-store-with-vinyl-collection-and-turntables-32393431/","Yee","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-04T09:19:44.2522352+01:00. Query: coffee and vinyl."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-35332004-cozy-bedroom-studio-with-laptop-ambience.mp4","https://www.pexels.com/video/focused-work-from-home-setup-at-night-35332004/","pexels query Cozy bedroom studio with laptop ambience","https://www.pexels.com/video/focused-work-from-home-setup-at-night-35332004/","Artem Shutkin","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-04T09:21:36.6040328+01:00. Query: Cozy bedroom studio with laptop ambience."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-8331699-grand-piano.mp4","https://www.pexels.com/video/close-up-video-of-a-person-playing-piano-8331699/","pexels query Grand piano","https://www.pexels.com/video/close-up-video-of-a-person-playing-piano-8331699/","ROMAN ODINTSOV","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-04T09:25:54.6278670+01:00. Query: Grand piano."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-16224-grand-piano-at-night-in-a-small-jazz-club.mp4","Pixabay video 16224","background, sample, flooded, rain, textures, beautiful wallpaper, wallpaper, glass, weeping, water, design, blur, drops, night lights, a drop, water drops, warmly, macro, lights, air, city, night, night city pixabay query Grand piano at night in a small jazz club","https://pixabay.com/videos/id-16224/","Gam-Ol","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:28:22.9589179+01:00. Query: Grand piano at night in a small jazz club."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-32014631-infinite-coffee-stream-and-slow-motion-pour-over-ritual.mp4","https://www.pexels.com/video/pour-over-coffee-brewing-in-chemex-32014631/","pexels query Infinite coffee stream and slow motion pour over ritual","https://www.pexels.com/video/pour-over-coffee-brewing-in-chemex-32014631/","Israyosoy S.","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-04T09:33:11.0335442+01:00. Query: Infinite coffee stream and slow motion pour over ritual."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-4882-infinite-coffee-stream-and-slow-motion-pour-over-ritual.mp4","Pixabay video 4882","coffee, cup, tea, hot, pour, drink, porcelain, espresso, brown, breakfast pixabay query Infinite coffee stream and slow motion pour over ritual","https://pixabay.com/videos/id-4882/","klimkin","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:35:14.6781132+01:00. Query: Infinite coffee stream and slow motion pour over ritual."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-343867-sunset-beach-with-samba-energy-and-warm-colors.mp4","Pixabay video 343867","remote, sunset, beach, island, ocean, serene, vacation, sand, horizon, peaceful, seascape, tranquil, shore, calm, paradise, summer, tropical, warm, coast, sea, sunlight, calmness, orange, sunrise, coastal pixabay query Sunset beach with samba energy and warm colors","https://pixabay.com/videos/id-343867/","Mario_Krimer","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:40:19.6522403+01:00. Query: Sunset beach with samba energy and warm colors."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-32279-sunset-beach-with-samba-energy-and-warm-colors.mp4","Pixabay video 32279","sunset, heaven, summer, sea, sun, water, clouds, beach, dusk, ocean, sand, seascape, waves, time-lapse photography, move, mood, romantic, warm, tropical pixabay query Sunset beach with samba energy and warm colors","https://pixabay.com/videos/id-32279/","Peggy_Marco","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:42:27.5174779+01:00. Query: Sunset beach with samba energy and warm colors."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-366823-cinematic-peru-landscape.mp4","Pixabay video 366823","drone, aerial, drone footage, nature, landscape, summer, evening, sunset, golden hour, countryside, forest, green, scenic, tranquil, peaceful, cinematic, 4k, outdoors, travel, aerial view pixabay query cinematic Peru landscape","https://pixabay.com/videos/id-366823/","SrDali","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:47:27.4484159+01:00. Query: cinematic Peru landscape."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-175713-coffee-plantation-hillside.mp4","Pixabay video 175713","vegetables, leaves, plantation, crop, agriculture, farm, field, food, freshness, green, growth, healthy eating, land, organic, plant, produce, rural scene, landscape pixabay query Coffee plantation hillside","https://pixabay.com/videos/id-175713/","Sunchai199","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-04T09:50:07.8708880+01:00. Query: Coffee plantation hillside."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-6647092-flute.mp4","https://www.pexels.com/video/a-female-playing-a-flute-6647092/","pexels query Flute","https://www.pexels.com/video/a-female-playing-a-flute-6647092/","Charles Parker","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-06T21:35:05.6988325+01:00. Query: Flute."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-84226-coffee-plantation-hillside.mp4","Pixabay video 84226","grapes, plantation, viticulture, leaves, fruit, wine, plant, green, cultivation, vineyard, nature, grapevine, tuscany, italy, cultivated, field pixabay query Coffee plantation hillside","https://pixabay.com/videos/id-84226/","Kmeel_com","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-06T21:36:36.7279082+01:00. Query: Coffee plantation hillside."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-39292-cozy-bedroom-studio-with-laptop.mp4","Pixabay video 39292","curtain, inside, house, room, weekend, bathrobe, windows, home, bedroom, quarantine, covid, lockdown, rest, calm, quiet, silence pixabay query Cozy bedroom studio with laptop","https://pixabay.com/videos/id-39292/","CycleZyklusCiclo","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-06T21:40:38.9597750+01:00. Query: Cozy bedroom studio with laptop."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-6273977-soft-bass.mp4","https://www.pexels.com/video/men-performing-on-stage-6273977/","pexels query soft bass","https://www.pexels.com/video/men-performing-on-stage-6273977/","Artem Podrez","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-06T21:42:53.0235230+01:00. Query: soft bass."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-34163979-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","https://www.pexels.com/video/warm-heart-latte-art-in-cozy-cafe-34163979/","pexels query Rio cafe morning with sunlight and breakfast coffee","https://www.pexels.com/video/warm-heart-latte-art-in-cozy-cafe-34163979/","Airam Dato-on","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-06T21:46:25.1710014+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-133606-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","Pixabay video 133606","sign, coffee, espresso, cafe, restaurant, caffeine, bar, drink, break, breakfast, writing, plaque, logo, concept, idea, design, symbol, sea, wave, ocean, coast, beach pixabay query Rio cafe morning with sunlight and breakfast coffee","https://pixabay.com/videos/id-133606/","Engin_Akyurt","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-06T21:48:47.5497890+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-3643609-sunset-beach-with-samba-energy-and-warm-colors.mp4","https://www.pexels.com/video/sandy-beach-with-view-of-sunset-3643609/","pexels query Sunset beach with samba energy and warm colors","https://www.pexels.com/video/sandy-beach-with-view-of-sunset-3643609/","Darli Donizete","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T11:09:21.4345242+01:00. Query: Sunset beach with samba energy and warm colors."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-29598481-coastal-cafe-sunset.mp4","https://www.pexels.com/video/peaceful-sunset-at-coastal-cafe-with-boats-29598481/","pexels query coastal cafe sunset","https://www.pexels.com/video/peaceful-sunset-at-coastal-cafe-with-boats-29598481/","Hülya Ermiş Belek","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T11:18:36.2468520+01:00. Query: coastal cafe sunset."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-107140-cozy-bedroom-studio-with-laptop.mp4","Pixabay video 107140","tape, registration, sound, pulley, retro, nostalgic, studio, reel to reel tape recorder, reel tape, real to real pixabay query Cozy bedroom studio with laptop","https://pixabay.com/videos/id-107140/","mootlak","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T11:20:23.3042942+01:00. Query: Cozy bedroom studio with laptop."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-34056845-small-jazz-club-piano.mp4","https://www.pexels.com/video/close-up-of-hands-playing-digital-piano-indoors-34056845/","pexels query small jazz club piano","https://www.pexels.com/video/close-up-of-hands-playing-digital-piano-indoors-34056845/","Thuan Pham","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T12:31:16.7946449+01:00. Query: small jazz club piano."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-29136191-rhodes-piano.mp4","https://www.pexels.com/video/peaceful-beach-sunset-meditation-scene-29136191/","pexels query Rhodes piano","https://www.pexels.com/video/peaceful-beach-sunset-meditation-scene-29136191/","Travel with Mac","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T12:35:20.8284039+01:00. Query: Rhodes piano."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-6395-cozy-bedroom-studio-with-laptop.mp4","Pixabay video 6395","office, beautiful wallpaper, desk, computer, work, bokeh, blur, background, business, table, room, screen, technology, laptop, workplace, notebook, desktop pixabay query Cozy bedroom studio with laptop","https://pixabay.com/videos/id-6395/","Coverr-Free-Footage","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T12:37:16.6698274+01:00. Query: Cozy bedroom studio with laptop."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-35471136-cafe-da-manha-table.mp4","https://www.pexels.com/video/coastal-cafe-overlooking-a-busy-harbor-35471136/","pexels query cafe da manha table","https://www.pexels.com/video/coastal-cafe-overlooking-a-busy-harbor-35471136/","Emir Taha Ergün","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T12:44:00.7563087+01:00. Query: cafe da manha table."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-336149-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","Pixabay video 336149","brazil, brasil, braziltravel, visitbrasil, riodejaneiro, rio, saopaulo, amazonrainforest, amazonas, nature, braziliannature, beach, sunsets, nightlife, brazilsky, cityscape, urbanexplorer, beautifuldestinations, travelgram, southamerica, landscapes, vacation, naturephotography, streetstyle, copacabana pixabay query Rio cafe morning with sunlight and breakfast coffee","https://pixabay.com/videos/id-336149/","MoonLight1122","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T12:45:45.4958862+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-121707-coffee-plantation-hillside.mp4","Pixabay video 121707","mountains, cabin, hut, fields, plantation, north pixabay query Coffee plantation hillside","https://pixabay.com/videos/id-121707/","cháº£olá»","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T12:49:27.1535427+01:00. Query: Coffee plantation hillside."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-29046039-mountain-valley-clouds.mp4","https://www.pexels.com/video/majestic-mountain-sunrise-over-vast-landscape-29046039/","pexels query mountain valley clouds","https://www.pexels.com/video/majestic-mountain-sunrise-over-vast-landscape-29046039/","Marius Nacu","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T12:50:47.1629497+01:00. Query: mountain valley clouds."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-36251627-brush-drums.mp4","https://www.pexels.com/video/nighttime-drumming-performance-at-outdoor-market-36251627/","pexels query brush drums","https://www.pexels.com/video/nighttime-drumming-performance-at-outdoor-market-36251627/","Fahad Puthawala","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T13:14:01.2519858+01:00. Query: brush drums."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-50050-grand-piano.mp4","Pixabay video 50050","buildings, sunset, city, night, dusk, fantastic, grand, clouds, urban, electricity, motion, fast pixabay query Grand piano","https://pixabay.com/videos/id-50050/","fernandodb80","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T13:15:49.6664746+01:00. Query: Grand piano."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-140380-cozy-bedroom-studio-with-laptop.mp4","Pixabay video 140380","fireplace, fire, flames, heat, cozy, warm, bright pixabay query Cozy bedroom studio with laptop","https://pixabay.com/videos/id-140380/","u_mox9796ew5","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T13:21:09.5126906+01:00. Query: Cozy bedroom studio with laptop."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-142957-lamp.mp4","Pixabay video 142957","historic center, castle, statue, art, city, trees, street lamp, to stroll, italy, bar pixabay query lamp","https://pixabay.com/videos/id-142957/","GIUSEPPE-DE-BERGOLIS","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T13:24:09.5099060+01:00. Query: lamp."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-34698349-coffee-plantation-hillside-ambience.mp4","https://www.pexels.com/video/scenic-mountain-village-with-lush-greenery-34698349/","pexels query Coffee plantation hillside ambience","https://www.pexels.com/video/scenic-mountain-village-with-lush-greenery-34698349/","just a hobby","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T13:29:33.1697164+01:00. Query: Coffee plantation hillside ambience."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-231246-coffee-plantation-hillside.mp4","Pixabay video 231246","field, paddy field, plantation, agriculture, rural, rice, plant, paddy, farmer, farm, countryside, worker, season, outdoor, organic, holding, harvesting, vietnam, thailand, nature pixabay query Coffee plantation hillside","https://pixabay.com/videos/id-231246/","TungArt7","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T13:32:01.2965318+01:00. Query: Coffee plantation hillside."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-122504-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","Pixabay video 122504","coffee, morning, caffeine, barista, bar, to prepare, fresh, healthy, diet, glass, cappuccino, cup, espresso, cafe, kitchen pixabay query Rio cafe morning with sunlight and breakfast coffee","https://pixabay.com/videos/id-122504/","Engin_Akyurt","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T13:36:49.7636709+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-17229074-bossa-percussion.mp4","https://www.pexels.com/video/a-group-of-young-men-playing-guitar-and-drums-17229074/","pexels query bossa percussion","https://www.pexels.com/video/a-group-of-young-men-playing-guitar-and-drums-17229074/","Siarhei Dalivelia","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T13:39:01.5355959+01:00. Query: bossa percussion."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-36188102-ride-cymbal.mp4","https://www.pexels.com/video/vibrant-mexican-carnival-street-performance-36188102/","pexels query ride cymbal","https://www.pexels.com/video/vibrant-mexican-carnival-street-performance-36188102/","Israyosoy S.","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T14:12:48.1521029+01:00. Query: ride cymbal."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-35777041-warm-ocean-coffee.mp4","https://www.pexels.com/video/sunset-coffee-with-scenic-outdoor-backdrop-35777041/","pexels query warm ocean coffee","https://www.pexels.com/video/sunset-coffee-with-scenic-outdoor-backdrop-35777041/","benedicto 13","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T14:15:05.5290744+01:00. Query: warm ocean coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-34771083-warm-desk-lamp-ambience.mp4","https://www.pexels.com/video/elegant-vietnamese-lamp-by-sunlit-window-34771083/","pexels query warm desk lamp ambience","https://www.pexels.com/video/elegant-vietnamese-lamp-by-sunlit-window-34771083/","Anh Nguyen","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T14:19:43.8069141+01:00. Query: warm desk lamp ambience."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-334250-soft-bass.mp4","Pixabay video 334250","cozy bedroom, fireplace, cinemagraph, warm lighting, bedroom aesthetic, relaxing fire, cozy vibes, nighttime aesthetic, calm atmosphere, soft lighting, peaceful room, ambient loop, home comfort, hygge style, relaxation, interior aesthetic, soothing visuals, quiet night, warm glow, comfort space, cozy home, tranquil mood, bedtime vibes, aesthetic room, calming video, ai generated pixabay query soft bass","https://pixabay.com/videos/id-334250/","IAmTheDrama","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T14:22:08.7777956+01:00. Query: soft bass."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-35318605-warm-cafe-interior.mp4","https://www.pexels.com/video/contemporary-cafe-interior-with-french-windows-35318605/","pexels query warm cafe interior","https://www.pexels.com/video/contemporary-cafe-interior-with-french-windows-35318605/","tim liao","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T14:26:44.2036708+01:00. Query: warm cafe interior."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-93268-rio-cafe-morning-with-sunlight-and-breakfast-coffee.mp4","Pixabay video 93268","coffee, cup, espresso, mocha, drink, soft drinks, food, dark, milk, delicious, yummy, morning, breakfast, hot, torn, background, beautiful wallpaper, caffeine, cafe, restaurant, close, macro, kitchen pixabay query Rio cafe morning with sunlight and breakfast coffee","https://pixabay.com/videos/id-93268/","Engin_Akyurt","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T14:29:22.1017510+01:00. Query: Rio cafe morning with sunlight and breakfast coffee."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pixabay-31364-sunset-beach-with-samba-energy-and-warm-colors.mp4","Pixabay video 31364","ocean, sunset, beach, waves, sky, color, warm, summer, italy, genoa, travel, tourism, colorful, sea, sunrise, water, nature, dusk, evening, reflection, dawn, twilight, sun, mediterranean pixabay query Sunset beach with samba energy and warm colors","https://pixabay.com/videos/id-31364/","caelan","Pixabay Content License","yes","not required","yes","Auto-sourced during render on 2026-08-07T14:34:24.4256419+01:00. Query: Sunset beach with samba energy and warm colors."
"C:\Users\willi\Documents\Codex\2026-06-06\i-want-to-create-something-that\outputs\jazz-content-scheduler\visual-sources\approved-videos\pexels-36258281-samba-percussion.mp4","https://www.pexels.com/video/street-dance-festival-in-lively-urban-scene-36258281/","pexels query Samba percussion","https://www.pexels.com/video/street-dance-festival-in-lively-urban-scene-36258281/","Belén Montero I presetspix.etsy.com","Pexels License","yes","recommended","yes","Auto-sourced during render on 2026-08-07T14:36:42.2484228+01:00. Query: Samba percussion."
